License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
62427,The Veridian At Silver Spring Metro,1133 East West Hwy,Silver Spring,20910,178097,-77.02778325,38.9893465,6/15/23,,3,1,457,110,0.54,0.72,68,0,0,compliant,"(38.9893, -77.0278)"
17200,Seneca Ridge,19568 Scenery Dr,Germantown,20876,177536,-77.23488749,39.17687198,4/13/23,,3,1,71,58,1.62,1.13,26,0.05,0,compliant,"(39.1769, -77.2349)"
17632,The Point At Germantown,2 Observation Ct,Germantown,20876,175575,-77.24749447,39.19213983,3/29/23,,2,1,218,63,0.85,1.11,28,0.03,0,compliant,"(39.1921, -77.2475)"
17292,Summit Hills,8484 16Th St,Silver Spring,20910,178095,0,0,5/23/23,,3,1,112,269,2.8,1.88,30,0.03,0,troubled,"(0.0, 0.0)"
150981,"Clareton, The",4740 BRADLEY BLVD,CHEVY CHASE,20815,171024,-77.09424429,38.97761784,2/10/22,,3,1,100,18,0.11,0.27,16,0,0,compliant,"(38.9776, -77.0942)"
17620,Naples Manor,31 CARONA CT,SILVER SPRING,20905,171919,-77.02247527,39.10091806,9/6/22,,2,1,64,0,0,0,0,0,0,TBD,"(39.1009, -77.0225)"
17477,North Park Apartments,4615 PARK AVE N,CHEVY CHASE,20815,177635,-77.09241112,38.9636738,3/8/23,,3,1,310,74,0.85,0.98,38,0,0,compliant,"(38.9637, -77.0924)"
17475,"Flower Avenue, 8609",8609 FLOWER AVE,TAKOMA PARK,20912,160566,-77.00292042,38.99699926,1/4/23,,3,1,3,0,0,0,0,0,0,TBD,"(38.997, -77.0029)"
150630,Maven at Wheaton,10914 GEORGIA AVE,SILVER SPRING,20902,177513,-77.05020194,39.03522778,3/31/23,,3,1,232,62,0.38,0.15,57,0.03,0,compliant,"(39.0352, -77.0502)"
16959,"Flower Avenue, 8501",8501 FLOWER AVE,TAKOMA PARK,20912,173307,-77.00231517,38.99538482,8/18/22,,3,1,4,6,6.16,1.72,0,0,0,troubled,"(38.9954, -77.0023)"
